pid,stake36,stake34,stake32,stake30,stake28,stake26,stake24,stake22,stake20,stake18,stake16
1,4,4,4,4,4,4,4,4,4,4,4
2,4,3,3,0,0,0,0,0,0,0,0
3,4,4,4,4,4,4,3,3,3,2,1
4,4,4,4,4,4,4,4,2,3,0,0
5,4,4,4,3,1,3,1,1,0,0,0
6,4,4,4,4,4,4,4,4,4,2,1
7,4,4,4,2,0,0,0,0,0,0,0
8,3,4,3,3,3,2,2,2,1,1,0
9,4,0,0,0,0,0,0,0,0,0,0
10,4,4,4,4,4,4,4,4,4,4,4
11,4,4,4,4,4,4,4,4,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,4,4,4,4,4,3,3,2,3,0,0
14,4,4,4,0,0,0,0,0,0,0,0
15,4,4,4,4,4,4,0,0,0,0,0
16,4,4,4,4,4,4,4,4,4,4,4
17,3,4,4,4,2,4,3,2,1,0,0
18,4,4,4,4,0,0,0,0,0,0,0
19,4,4,4,4,4,4,4,4,4,4,4
20,4,4,4,4,2,3,1,2,2,1,1
21,4,4,4,4,4,4,3,3,0,0,0
22,4,4,4,4,0,0,0,0,0,0,0
23,4,4,4,4,4,4,4,4,4,4,4
24,0,0,0,0,0,0,0,0,0,0,0
25,4,4,4,4,4,4,4,4,4,4,4
26,4,4,4,0,0,0,0,0,0,0,0
27,4,4,4,0,0,0,0,0,0,0,0
28,4,4,4,4,4,4,4,4,4,4,2
29,4,4,4,4,4,4,4,4,4,4,4
30,4,4,4,4,4,4,4,3,3,2,0
31,4,4,2,3,1,0,0,0,0,0,0
32,4,3,2,1,0,0,0,0,0,0,0
33,4,4,4,4,4,4,4,4,4,4,4
34,3,3,4,1,0,0,0,0,0,0,0
35,4,4,4,4,4,3,0,0,0,0,0
36,4,4,4,4,1,0,0,0,0,0,0
37,4,4,4,4,4,4,4,4,4,2,2
38,3,2,1,0,0,0,0,0,0,0,0
39,4,4,4,4,4,4,3,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0,0
41,4,4,4,4,4,4,4,3,0,0,0
42,4,3,2,4,1,0,0,0,0,0,0
43,4,4,4,4,4,4,4,3,4,3,2
44,3,4,4,3,3,3,4,2,4,2,2
45,3,2,2,0,0,0,1,0,0,0,0
46,4,2,4,0,0,0,0,0,0,0,0
47,4,4,4,4,3,2,3,3,1,2,0
48,4,4,4,4,0,0,0,0,0,1,0
49,4,4,4,4,4,3,4,2,1,0,0
50,4,4,4,4,4,2,0,2,3,0,0
51,2,0,1,1,0,0,0,0,0,0,1
52,4,4,3,0,0,0,0,0,0,0,0
53,4,4,4,4,4,4,4,4,4,4,4
54,4,2,2,1,0,0,1,1,1,0,1
55,4,4,4,4,2,3,1,0,0,0,0
56,4,4,4,0,0,0,0,0,0,0,0
57,4,4,4,4,2,0,0,0,0,0,0
58,4,4,2,2,1,1,2,1,0,0,0
59,4,4,4,3,1,1,0,0,0,0,0
60,4,4,4,4,3,3,4,4,4,0,0
61,4,4,4,4,4,4,4,4,4,4,4
62,4,4,4,4,4,4,3,1,1,1,0
63,3,0,0,1,0,0,0,0,0,0,0
64,4,4,4,4,0,0,0,0,0,0,0
65,4,0,0,0,0,0,0,1,0,0,0
66,4,4,2,4,2,3,2,1,3,1,2
67,4,4,3,4,2,3,1,0,0,0,0
68,4,4,3,3,2,1,2,1,1,0,0
69,4,4,4,4,4,4,4,4,4,4,4
70,4,4,4,4,4,2,2,1,0,0,0
71,4,4,4,4,4,4,4,4,4,4,4
72,4,4,4,3,4,2,3,2,2,0,0
73,4,4,4,4,0,1,0,0,0,0,0
74,3,1,4,1,0,0,0,0,0,0,0
75,4,4,4,4,1,0,0,0,0,0,0
76,4,4,4,4,4,4,4,4,4,4,3
77,4,4,4,1,0,0,0,0,0,0,0
78,4,3,4,2,0,0,0,0,0,0,0
79,4,4,2,3,1,0,0,0,0,0,0
80,4,4,4,4,1,1,0,0,0,0,0
81,4,4,4,4,4,4,4,3,3,1,2
,,,,,,,,,,,
Each participant in the experiement was offered a series of binary choices between a lottery and several sure amounts of money.,,,,,,,,,,,
"For each participant, each choice was repeated 4 times.",,,,,,,,,,,
Numbers above are the number of times the same participant chose a sure amount of money over lottery.,,,,,,,,,,,
Lottery for this table: 80% of 40 GBP,,,,,,,,,,,