pid,stake 11,stake10,stake9,stake8,stake7,stake6,stake5,stake4,stake 3
1,0,0,0,0,0,0,0,0,0
2,4,4,4,3,0,0,0,0,0
3,3,3,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
5,4,4,4,4,4,4,3,2,0
6,4,4,4,4,4,4,4,4,4
7,4,4,4,3,1,0,0,0,0
8,4,3,0,0,0,0,0,0,0
9,4,4,2,0,1,0,0,0,0
10,4,3,0,0,0,0,0,0,0
11,4,2,2,0,0,0,0,0,0
12,4,4,4,4,4,4,4,1,0
13,4,4,2,0,0,0,0,0,0
14,4,2,1,1,0,0,0,0,0
15,2,3,0,0,0,0,0,0,0
16,4,4,4,4,3,2,0,0,0
17,4,4,3,3,1,0,0,0,0
18,4,4,4,3,4,3,1,2,0
19,4,4,4,2,0,0,0,0,0
20,4,2,2,0,0,0,0,0,0
21,4,4,4,4,1,1,0,0,0
22,4,4,4,4,2,0,0,0,0
23,4,4,2,1,0,0,0,0,0
24,2,0,1,0,1,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,4,4,3,2,0,0,0,0,0
27,3,0,0,0,0,0,0,0,0
28,2,1,0,0,0,0,0,0,0
29,4,4,1,0,2,0,0,0,0
30,2,2,1,3,1,0,0,0,0
31,2,3,1,0,1,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,4,4,4,4,2,0,0,0,0
34,3,4,2,2,0,0,0,0,0
35,2,2,1,3,2,1,1,1,0
36,4,4,4,4,4,4,4,4,0
37,4,4,2,2,1,0,0,0,0
38,4,4,4,4,4,4,4,4,0
39,3,4,0,0,0,0,0,0,0
40,3,4,4,2,1,0,0,0,0
41,4,4,4,4,4,4,4,1,0
42,4,4,2,0,0,0,0,0,0
43,4,4,0,0,0,0,0,0,0
44,4,4,4,4,4,2,2,0,0
45,3,4,4,4,3,0,0,0,0
46,4,4,2,0,0,1,0,0,0
47,4,4,4,4,4,4,4,4,4
48,4,4,0,0,0,0,0,0,0
49,4,4,3,2,1,0,0,0,0
50,4,4,4,3,0,0,0,0,0
51,4,2,0,0,1,0,0,0,0
52,4,2,1,0,0,0,0,0,0
53,4,4,4,4,4,1,0,0,0
54,4,3,2,1,1,0,0,0,0
55,0,0,0,0,0,0,0,0,0
56,4,4,2,4,0,1,0,0,0
57,4,4,4,0,1,0,0,0,0
58,4,4,2,0,0,0,0,0,0
59,4,1,0,0,0,0,0,0,0
60,2,3,0,0,0,0,0,0,0
61,4,4,4,4,3,2,0,0,0
62,3,4,1,0,0,0,0,0,0
63,4,4,4,2,1,0,0,0,0
64,1,0,0,0,0,0,0,0,0
65,3,0,0,0,0,0,0,0,0
66,4,3,1,3,2,1,0,0,0
67,3,1,0,0,0,0,0,0,0
68,3,0,0,0,0,0,0,0,0
69,4,4,4,4,4,4,1,1,0
70,4,4,2,3,1,0,0,0,0
71,4,4,4,4,4,2,1,0,0
72,2,1,0,1,0,0,0,0,0
73,4,4,4,4,4,1,2,0,0
74,4,4,4,4,3,1,0,0,0
75,4,3,3,3,2,0,0,0,0
76,4,4,4,4,4,3,2,1,0
77,1,1,0,0,0,0,1,0,0
78,4,2,1,2,0,0,1,0,0
79,4,4,2,1,0,0,0,0,0
80,4,4,4,4,4,1,2,2,0
81,4,4,4,4,1,0,0,0,0
82,4,4,3,1,1,0,0,0,0
83,4,4,4,4,4,1,3,0,0
84,3,4,4,1,2,0,0,0,0
85,4,4,4,3,2,0,0,0,0
86,4,3,0,0,0,0,0,0,0
87,4,4,0,0,0,0,0,0,0
88,4,4,0,0,0,0,0,0,0
89,4,4,4,4,1,0,0,0,0
90,4,4,4,4,4,4,3,3,0
91,4,4,4,4,4,4,4,1,0
92,4,4,4,4,4,3,3,2,0
93,4,4,4,3,0,0,0,0,0
94,4,4,4,4,4,4,3,2,0
95,4,4,4,3,2,0,0,0,0
96,3,0,0,0,0,0,0,0,0
97,3,2,0,0,1,0,0,0,0
98,4,4,4,3,1,1,0,0,0
99,4,4,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,4,3,1,3,0,0,0,0,0
102,3,3,3,3,3,2,2,0,0
103,4,4,4,4,4,3,3,3,0
104,4,4,4,1,1,0,0,0,0
105,4,4,4,3,2,0,0,0,0
106,1,0,0,0,0,0,0,0,0
107,3,4,4,4,2,2,1,0,0
108,4,4,4,2,0,0,0,0,0
109,1,0,0,0,1,0,0,0,0
110,0,0,0,0,0,0,0,0,0
111,4,4,3,3,1,0,0,0,0
112,4,0,0,0,0,0,0,0,0
113,4,4,0,0,0,0,0,0,0
114,4,0,0,0,0,0,0,0,0
115,3,2,0,0,0,0,0,0,0
116,4,4,4,4,4,4,4,4,4
117,4,4,4,3,4,0,0,0,0
118,4,4,4,4,1,1,1,0,0
119,1,1,1,0,1,0,0,0,0
120,4,4,2,2,3,0,1,1,0
121,3,4,0,0,0,0,0,0,0
122,3,0,0,0,0,0,0,0,0
123,4,4,4,4,2,0,0,0,0
124,4,4,3,4,2,1,0,1,0
125,4,4,0,0,0,0,0,0,0
126,4,4,2,4,3,0,0,0,0
127,3,4,0,0,0,0,0,0,0
128,4,4,4,4,2,1,1,0,0
129,4,4,2,1,0,0,0,0,0
130,4,4,4,4,4,4,0,0,0
131,4,3,1,1,0,0,0,0,0
132,4,4,4,4,3,0,0,0,0
133,4,4,4,4,3,2,0,0,0
134,4,4,4,2,3,0,0,0,0
135,4,4,4,4,2,0,0,0,0
136,4,4,4,3,0,0,0,0,0
137,4,4,3,4,4,2,0,0,0
138,4,4,4,3,0,0,0,0,0
139,4,4,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0
141,4,4,3,0,0,0,0,0,0
142,4,4,1,1,0,0,0,0,0
143,3,2,0,2,0,0,0,0,0
144,4,4,4,4,4,3,4,4,0
145,4,4,0,0,0,0,0,0,0
146,4,4,3,2,0,0,0,0,0
147,3,2,0,2,0,0,0,0,0
148,4,4,0,0,0,0,0,0,0
149,4,3,1,1,1,0,0,0,0
150,4,3,1,1,0,0,0,0,0
151,4,4,3,3,0,0,0,0,0
152,4,4,4,4,3,2,2,0,0
153,4,4,4,2,1,1,0,0,0
154,4,4,4,3,3,4,4,4,0
155,4,4,4,1,0,0,0,0,0
156,4,4,4,4,4,2,0,0,0
157,4,3,0,1,0,0,0,0,0
158,4,4,4,4,0,0,0,0,0
159,4,3,1,0,0,0,0,0,0
160,4,4,2,1,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0
162,3,4,2,1,0,0,0,0,0
163,4,3,3,4,3,0,0,0,0
164,1,0,0,0,0,0,0,0,0
165,4,4,1,0,0,0,0,0,0
166,4,4,3,1,1,0,0,0,0
167,4,4,4,3,1,1,0,0,0
168,4,3,0,0,0,0,0,0,0
169,4,4,0,0,0,0,0,0,0
170,4,4,4,3,2,1,0,0,0
171,3,4,0,0,0,0,0,0,0
172,2,0,0,0,0,0,0,0,0
173,0,1,0,0,0,0,0,0,0
174,4,4,4,3,4,0,0,1,0
175,3,4,3,4,0,0,0,0,0
176,4,4,4,3,2,1,0,0,0
177,4,4,4,2,2,1,1,0,0
178,3,3,3,4,3,0,0,0,0
179,3,3,3,2,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0
181,4,4,4,4,0,0,0,0,0
182,4,4,3,3,2,1,1,0,0
183,4,4,4,0,0,0,0,0,0
184,4,4,4,4,4,4,3,4,0
,,,,,,,,,
,,,,,,,,,
Each participant in the experiement was offered a series of binary choices between a lottery and several sure amounts of money.,,,,,,,,,
"For each participant, each choice was repeated 4 times.",,,,,,,,,
Numbers above are the number of times the same participant chose a sure amount of money over lottery.,,,,,,,,,
Lottery for this table: 80% of 12 GBP,,,,,,,,,