pid,stake13,stake12,stake 11,stake10,stake9,stake8,stake7,stake6,stake5,stake4,stake 3
1,4,4,4,4,2,2,0,0,1,0,0
2,4,4,4,4,4,4,3,2,0,0,0
3,4,4,0,0,0,0,0,0,0,0,0
4,4,4,4,4,0,1,0,0,0,0,0
5,4,4,4,4,4,4,4,4,3,2,0
6,4,4,4,4,4,4,4,4,4,4,3
7,4,4,4,4,4,4,4,4,4,4,0
8,4,4,1,1,0,0,0,0,0,0,0
9,4,4,4,4,3,4,4,4,4,2,0
10,4,4,4,4,4,4,4,4,4,4,4
11,4,4,4,4,4,4,4,4,1,1,0
12,4,4,4,3,4,4,4,4,4,4,0
13,4,4,2,3,2,2,1,1,1,1,0
14,4,4,4,4,4,4,4,4,4,4,4
15,4,4,4,4,4,4,4,2,0,0,0
16,4,4,4,4,4,4,4,0,0,0,0
17,4,4,4,4,4,4,4,4,2,1,0
18,4,4,4,4,4,3,4,2,2,2,0
19,4,4,4,4,2,1,0,1,1,0,0
20,4,4,4,4,4,4,4,2,1,0,0
21,4,4,4,4,4,3,2,3,2,0,0
22,4,4,4,4,4,4,4,3,1,0,0
23,4,4,4,4,4,4,4,4,4,4,4
24,4,4,4,4,4,4,4,4,3,1,0
25,4,4,0,0,0,0,0,0,0,0,0
26,4,4,4,4,4,4,4,2,1,0,0
27,4,4,4,4,4,4,4,3,4,3,0
28,4,4,2,3,3,1,0,0,0,0,0
29,4,4,1,4,3,1,0,0,0,0,0
30,4,4,3,4,2,1,2,1,2,0,0
31,4,4,4,4,4,4,3,3,2,1,0
32,4,4,4,4,4,4,2,0,1,1,0
33,4,4,4,4,4,4,4,4,4,0,0
34,4,4,0,0,0,0,0,0,0,0,0
35,4,4,4,4,4,4,3,4,4,2,0
36,4,4,4,4,4,4,4,4,4,4,0
37,4,4,4,4,2,2,2,1,0,0,0
38,4,4,4,4,4,4,4,4,4,4,0
39,4,4,1,4,0,0,0,0,0,0,0
40,4,4,4,4,4,4,4,4,1,1,0
41,4,4,4,4,4,4,4,4,4,3,0
42,4,4,4,2,1,0,0,0,0,0,0
43,4,4,0,0,0,0,0,0,0,0,0
44,4,4,4,4,4,4,4,4,4,4,0
45,4,4,3,4,0,0,0,0,0,0,0
46,4,4,4,4,4,4,3,3,4,0,0
47,4,4,4,4,4,4,4,4,4,4,4
48,4,4,0,0,0,0,0,0,0,0,0
49,4,4,4,4,4,4,3,1,1,1,0
50,4,4,4,4,3,0,0,0,0,0,0
51,4,4,4,4,4,4,4,4,3,2,0
52,4,4,4,4,4,4,4,4,3,3,0
53,4,4,4,4,4,4,4,4,4,2,0
54,4,4,4,4,4,4,4,4,3,1,0
55,4,4,4,4,4,4,3,3,3,3,0
56,4,4,4,4,4,4,4,3,2,1,0
57,4,4,4,4,4,4,4,4,4,4,0
58,4,4,3,1,0,0,0,0,0,0,0
59,4,4,0,0,0,0,0,0,0,0,0
60,4,4,4,3,1,1,1,0,0,0,0
61,4,4,4,4,4,4,4,4,2,0,0
62,4,4,0,0,0,0,0,0,0,0,0
63,4,4,4,4,4,4,4,3,4,0,0
64,4,4,4,4,4,4,4,4,4,2,0
65,4,4,0,0,0,0,0,0,0,0,0
66,4,4,4,4,4,4,4,4,4,4,0
67,4,4,3,2,0,0,0,0,0,0,0
68,4,4,3,0,1,0,0,0,0,0,0
69,4,4,4,4,4,4,4,4,4,4,0
70,4,4,4,4,4,4,4,2,2,0,0
71,4,4,4,4,4,4,4,4,2,1,0
72,4,4,4,4,4,4,4,4,4,4,4
73,4,4,4,4,4,2,1,0,0,0,0
74,4,4,4,4,4,4,4,4,4,4,0
75,4,4,4,4,4,4,4,4,4,4,0
76,4,4,4,4,4,4,4,4,4,3,0
77,4,4,4,4,4,4,4,4,4,4,0
78,4,4,3,4,4,4,4,4,2,2,0
79,4,4,4,4,4,4,3,0,0,0,0
80,4,4,4,4,3,4,2,2,3,3,0
81,4,4,1,1,0,0,0,0,0,0,0
82,4,4,4,4,4,4,4,4,4,3,0
83,4,4,4,4,4,4,4,4,4,4,4
84,4,4,2,1,0,0,0,0,0,0,0
85,4,4,4,4,4,3,4,2,0,0,0
86,4,4,0,0,0,0,0,0,0,0,0
87,4,4,4,4,4,4,4,3,0,0,0
88,4,4,4,4,2,2,2,0,0,0,0
89,4,4,4,4,3,2,0,1,0,0,0
90,4,4,4,4,4,4,4,4,4,4,0
91,4,4,4,4,4,4,4,4,4,3,0
92,4,4,4,4,4,4,4,4,4,4,0
93,4,4,0,0,0,0,0,0,0,0,0
94,4,4,4,4,4,3,4,3,0,0,0
95,4,4,4,4,3,1,0,0,0,0,0
96,4,4,4,4,2,4,4,3,1,0,0
97,4,4,4,4,4,4,4,4,4,4,4
98,4,4,4,4,4,4,3,3,1,1,0
99,4,4,4,4,0,0,0,0,0,0,0
100,4,4,4,4,4,4,4,2,2,0,0
101,4,4,1,2,1,1,0,1,0,0,0
102,4,4,4,4,4,4,4,4,4,3,0
103,4,4,4,4,4,4,4,4,4,3,0
104,4,4,1,1,0,0,0,0,0,0,0
105,4,4,4,4,4,4,4,4,2,0,0
106,4,4,4,4,4,4,4,4,4,0,0
107,4,4,4,4,4,4,2,2,2,0,0
108,4,4,4,4,4,4,4,4,4,4,4
109,4,4,4,3,2,2,1,1,0,1,0
110,4,4,4,4,4,4,4,4,4,2,0
111,4,4,4,4,4,4,3,4,3,0,0
112,4,4,4,4,4,1,1,0,0,0,0
113,4,4,4,4,0,0,0,0,0,0,0
114,4,4,4,4,3,2,2,0,1,0,0
115,4,4,4,4,4,4,4,4,3,1,0
116,4,4,4,4,4,4,4,4,4,4,4
117,4,4,4,4,4,4,4,4,4,3,0
118,4,4,4,4,4,4,1,1,0,0,0
119,4,4,1,1,1,0,0,0,0,0,0
120,4,4,4,4,4,4,4,4,4,4,4
121,4,4,0,1,0,0,0,0,0,0,0
122,4,4,4,4,4,3,2,1,0,0,0
123,4,4,4,4,4,3,0,0,0,0,0
124,4,4,4,4,4,4,4,4,2,2,0
125,4,4,4,4,4,2,0,1,0,0,0
126,4,4,4,3,3,1,3,1,0,0,0
127,4,4,4,0,0,0,0,0,0,0,0
128,4,4,4,4,4,3,4,3,2,3,0
129,4,4,4,4,4,4,4,4,3,0,0
130,4,4,4,4,4,4,4,4,0,0,0
131,4,4,4,4,3,2,1,0,0,0,0
132,4,4,4,4,4,4,4,4,4,4,4
133,4,4,4,4,4,4,4,4,4,3,0
134,4,4,3,4,3,2,1,1,2,0,0
135,4,4,4,4,4,4,1,0,0,0,0
136,4,4,4,4,4,2,0,0,0,0,0
137,4,4,4,4,4,4,4,4,1,0,0
138,4,4,4,4,4,4,4,4,0,0,0
139,4,4,4,3,3,2,0,0,0,0,0
140,4,4,4,4,4,4,4,3,1,0,0
141,4,4,4,4,0,0,0,0,0,0,0
142,4,4,4,4,4,3,4,3,1,2,0
143,4,4,4,4,4,4,2,1,0,0,0
144,4,4,4,4,4,4,4,4,4,4,0
145,4,4,4,4,0,0,0,0,0,0,0
146,4,4,4,4,3,2,2,0,0,0,0
147,4,4,4,4,1,0,0,0,0,0,0
148,4,4,0,1,0,0,0,0,0,0,0
149,4,4,4,4,4,4,4,4,4,4,0
150,4,4,4,4,4,4,4,2,2,1,0
151,4,4,4,3,2,1,1,0,0,0,0
152,4,4,4,4,4,4,4,4,4,3,0
153,4,4,4,4,3,4,4,2,4,0,0
154,4,4,4,4,4,4,4,4,4,3,0
155,4,4,4,4,3,1,0,1,0,0,0
156,4,4,4,4,4,4,4,3,0,0,0
157,4,4,4,4,1,0,0,0,0,0,0
158,4,4,4,4,4,4,4,1,0,0,0
159,4,4,4,4,4,4,4,3,0,0,0
160,4,4,4,4,0,1,1,0,0,0,0
161,4,4,0,0,0,0,0,0,0,0,0
162,4,4,4,4,4,4,2,2,1,0,0
163,4,4,4,4,4,4,4,4,4,3,0
164,4,4,0,0,0,0,0,0,0,0,0
165,4,4,4,4,4,4,4,3,4,0,0
166,4,4,4,4,4,4,3,2,0,0,0
167,4,4,4,4,4,4,3,1,0,0,0
168,4,4,1,1,0,0,0,0,0,0,0
169,4,4,1,1,0,0,0,0,0,0,0
170,4,4,4,4,4,3,3,2,1,2,0
171,4,4,0,0,0,0,0,0,0,0,0
172,4,4,0,0,0,0,0,0,0,0,0
173,4,4,4,4,1,1,1,0,0,0,0
174,4,4,4,4,4,4,4,4,4,2,0
175,4,4,4,4,4,2,1,0,0,0,0
176,4,4,4,4,3,0,3,2,0,0,0
177,4,4,4,4,4,4,4,4,4,2,0
178,4,4,4,4,4,4,4,4,4,4,0
179,4,4,4,4,4,4,4,4,4,3,0
180,4,4,1,0,0,0,0,0,1,0,0
181,4,4,4,4,4,4,4,4,4,4,0
182,4,4,4,4,4,4,4,3,2,2,0
183,4,4,2,2,0,0,0,0,0,0,0
184,4,4,4,4,4,4,4,4,4,4,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Each participant in the experiement was offered a series of binary choices between a lottery and several sure amounts of money.,,,,,,,,,,,
"For each participant, each choice was repeated 4 times.",,,,,,,,,,,
Numbers above are the number of times the same participant chose a sure amount of money over lottery.,,,,,,,,,,,
Lottery for this table: 25% of 50 GBP,,,,,,,,,,,